nenne_id,section_title,passage_text
"""N00000001""","""General Knowledge""","""Capital of Afghanistan is Kabul. Capital of Aland Islands is Mariehamn. Capital of Albania is Tirana. Capital of Algeria is Algiers. Capital of American Samoa is Pago Pago. Capital of Andorra is Andorra la Vella. Capital of Angola is Luanda. Capital of Anguilla is The Valley.Capital of Antigua and Barbuda is Saint John’s. Capital of Argentina is Buenos Aires. Capital of Armenia is Yerevan. Capital of Aruba is Oranjestad.Capital of Australia is Canberra. Capital of Austria is Vienna. Capital of Azerbaijan is Baku. Capital of Bahamas is Nassau. Capital of Bahrain is Manama. Capital of Bangladesh is Dhaka. Capital of Barbados is Bridgetown. Capital of Belarus is Minsk. Capital of Belgium is Brussels. Capital of Belize is Belmopan.
Capital of Benin is Porto-Novo. Capital of Bermuda is Hamilton. Capital of Bhutan is Thimphu. Capital of Bolivia is Sucre. Capital of Bosnia and Herzegovina is Sarajevo. Capital of Botswana is Gaborone. Capital of Brazil is Brasília. Capital of British Indian Ocean Territory is Camp Justice. Capital of Brunei is Bandar Seri Begawan.Capital of Bulgaria is Sofia.
Capital of Burkina Faso is Ouagadougou. Capital of Burundi is Bujumbura. Capital of Cambodia is Phnom Penh. Capital of Cameroon is Yaoundé. Capital of Canada is Ottawa. Capital of Cape Verde is Praia. Capital of Caribbean Netherlands is Bonaire. Capital of Cayman Islands is George Town."""
"""N00000001""","""General Knowledge""","""Capital of Central African Republic is Bangui. Capital of Chad is N'Djamena. Capital of Chile is Santiago. Capital of China is Beijing.
Capital of Christmas Island is Flying Fish Cove. Capital of Cocos Islands is West Island. Capital of Colombia is Bogotá. Capital of Comoros is Moroni.
Capital of Republic of the Congo is Brazzaville. Capital of Democratic of Republic (DR) Congo is Kinshasa. Capital of Cook Islands is Avarua.
Capital of Costa Rica is San José. Capital of Ivory Coast is Yamoussoukro. Capital of Croatia is Zagreb. Capital of Cuba is Havana. Capital of Curaçao is Willemstad.
Capital of Cyprus is Nicosia. Capital of Czechia is Prague. Capital of Denmark is Copenhagen. Capital of Djibouti is Djibouti. Capital of Dominica is Roseau.
Capital of Dominican Republic is Santo Domingo. Capital of Ecuador is Quito. Capital of Egypt is Cairo. Capital of El Salvador is San Salvador. 
Capital of England is London. Capital of Equatorial Guinea is Malabo. Capital of Eritrea is Asmara. Capital of Estonia is Tallinn. Capital of Eswatini is Mbabane.
Capital of Ethiopia is Addis Ababa. Capital of Falkland Islands is Stanley. Capital of Faroe Islands is Tórshavn. Capital of Fiji is Suva.
Capital of Finland is Helsinki. Capital of France is Paris. Capital of French Guiana is Cayenne. Capital of French Polynesia is Papeete. Capital of Gabon is Libreville.
Capital of Gambia is Banjul. Capital of Georgia is Tbilisi. Capital of Germany is Berlin. Capital of Ghana is Accra. Capital of Gibraltar is Gibraltar."""
"""N00000001""","""General Knowledge""","""Capital of Greece is Athens. Capital of Greenland is Nuuk. Capital of Grenada is Saint George's. Capital of Guadeloupe is Basse-Terre. Capital of Guam is Hagatna.
Capital of Guatemala is Guatemala City. Capital of Guernsey is Saint Peter Port"" Capital of Guinea is Conakry. Capital of Guinea-Bissau is Bissau.
Capital of Guyana is Georgetown. Capital of Haiti is Port-au-Prince. Capital of Honduras is egucigalpa. Capital of Hong Kong is Hong Kong. Capital of Hungary is Budapest.
Capital of Iceland is Reykjavík. Capital of India is New Delhi. Capital of Indonesia is Jakarta. Capital of Iran is Tehran. Capital of Iraq is Baghdad.
Capital of Ireland is Dublin. Capital of Isle of Man is Douglas. Capital of Israel is Jerusalem. Capital of Italy is Rome. Capital of Jamaica is Kingston.
Capital of Japan is Tokyo. Capital of Jersey is Saint Helier. Capital of Jordan is Amman. Capital of Kazakhstan is Nursultan. Capital of Kenya is Nairobi.
Capital of Kiribati is Tarawa. Capital of North Korea is Pyongyang. Capital of South Korea is Seoul. Capital of Kosovo is Pristina. Capital of Kuwait is Kuwait City.
Capital of Kyrgyzstan is Bishkek. Capital of Laos is Vientiane. Capital of Latvia is Riga. Capital of Lebanon is Beirut. Capital of Lesotho is Maseru.
Capital of Liberia is Monrovia. Capital of Libya is Tripoli. Capital of Liechtenstein is Vaduz. Capital of Lithuania is Vilnius.Capital of Luxembourg is Luxembourg.
Capital of Macau is Concelho de Macau. Capital of Madagascar is Antananarivo. Capital of Malawi is Lilongwe. Capital of Malaysia is Kuala Lumpur."""
"""N00000001""","""General Knowledge""","""Capital of Maldives is Male. Capital of Mali is Bamako. Capital of Malta is Valletta. Capital of Marshall Islands is Majuro. Capital of Martinique is Fort-de-France.
Capital of Mauritania is Nouakchott. Capital of Mauritius is Port Louis. Capital of Mayotte is Mamoudzou. Capital of Mexico is Mexico City. Capital of Micronesia is Palikir.
Capital of Moldova is Chisinau. Capital of Monaco is Monaco. Capital of Mongolia is Ulaanbaatar. Capital of Montenegro is Podgorica. Capital of Montserrat is Brades.
Capital of Morocco is Rabat. Capital of Mozambique is Maputo. Capital of Myanmar is Nay Pyi Taw. Capital of Namibia is Windhoek. Capital of Nauru is Yaren.
Capital of Nepal is Kathmandu. Capital of Netherlands is Amsterdam. Capital of New Caledonia is Noumea. Capital of New Zealand is Wellington. Capital of Nicaragua is Managua.
Capital of Niger is Niamey. Capital of Nigeria is Abuja. Capital of Niue is Alofi. Capital of Norfolk Island is Kingston. Capital of North Macedonia is Skopje.
Capital of Northern Ireland is Belfast. Capital of Northern Mariana Islands is Saipan. Capital of Norway is Oslo. Capital of Oman is Muscat. Capital of Pakistan is Islamabad.
Capital of Palau is Ngerulmud. Capital of Palestine is Ramallah. Capital of Panama is Panama City. Capital of Papua New Guinea is Port Maresby. Capital of Paraguay is Asunción.
Capital of Peru is Lima. Capital of Philippines is Manila. Capital of Pitcairn Islands is Adamstown. Capital of Poland is Warsaw. Capital of Portugal is Lisbon.
Capital of Puerto Rico is San Juan. Capital of Qatar is Doha. Capital of Reunion is Saint-Denis. Capital of Romania is Bucharest. Capital of Russia is Moscow."""
"""N00000001""","""General Knowledge""","""Capital of Rwanda is Kigali. Capital of Saint Barthélemy is Gustavia. Capital of Saint Helena, Ascension and Tristan da Cunha is Jamestown. 
Capital of Saint Kitts and Nevis is Basseterre. Capital of Saint Lucia is Castries. Capital of Saint Martin is Marigot. Capital of Saint Pierre and Miquelon is Saint-Pierre.
Capital of Saint Vincent and the Grenadines is Kingstown. Capital of Samoa is Apia. Capital of San Marino is San Marino. Capital of São Tomé and Príncipe is São Tomé.
Capital of Saudi Arabia is Riyadh. Capital of Scotland is Edinburgh. Capital of Senegal is Dakar. Capital of Serbia is Belgrade. Capital of Seychelles is Victoria.
Capital of Sierra Leone is Freetown. Capital of Singapore is Singapore. Capital of Sint Maartenis Philipsburg. Capital of Slovakia is Bratislava.
Capital of Slovenia is Ljubljana. Capital of Solomon Islands is Honiara. Capital of Somalia is Mogadishu. Capital of South Africa is Pretoria. 
Capital of South Georgia is King Edward Point. Capital of South Sudan is Juba. Capital of Spain is Madrid. Capital of Sri Lanka is Colombo. Capital of Sudan is Khartoum.
Capital of Suriname is Paramaribo. Capital of Svalbard and Jan Mayen is Longyearbyen. Capital of Sweden is Stockholm. Capital of Switzerland is Bern.
Capital of Syria is Damascus. Capital of Taiwan is Taipei. Capital of Tajikistan is Dushanbe. Capital of Tanzania is Dodoma. Capital of Thailand is Bangkok.
Capital of Timor-Leste is Dili. Capital of Togo is Lome. Capital of Tokelau is Nukunonu. Capital of Tonga is Nuku Alofa. Capital of Trinidad and Tobago is Port-of-Spain."""
"""N00000001""","""General Knowledge""","""Capital of Tunisia is Tunis. Capital of Turkey is Ankara. Capital of Turkmenistan is Ashgabat. Capital of Turks and Caicos Islands is Cockburn Town. Capital of Tuvalu is Funafuti. Capital of Uganda is Kampala. Capital of Ukraine is Kiev. Capital of United Arab Emirates is Abu Dhabi. Capital of United Kingdom is London. Capital of United States is Washington, D.C.. Capital of United States Minor Outlying Islands is Washington, D.C.. Capital of Uruguay is Montevideo. Capital of Uzbekistan is Tashkent.
Capital of Vanuatu is Port Vila. Capital of Vatican City is Vatican City. Capital of Venezuela is Caracas. Capital of Vietnam is Hanoi. Capital of British Virgin Islands is Road Town. Capital of United States Virgin Islands is Charlotte Amalie. Capital of Wales is Cardiff. Capital of Wallis and Futuna is Mata-Utu. Capital of Western Sahara is El Aaiun. Capital of Yemen is Sanaa. Capital of Zambia is Lusaka. Capital of Zimbabwe is Harare."""
"""N00000002""","""General Knowledge""","""Currency of Afghanistan is Afghan afghani. Currency of Aland Islands is European euro. Currency of Albania is Albanian lek. Currency of Algeria is Algerian dinar.
Currency of American Samoa is United States Dollar. Currency of Andorra is European euro. Currency of Angola is Angolan kwanza. Currency of Anguilla is East Caribbean dollar.
Currency of Antigua and Barbuda is East Caribbean dollar. Currency of Argentina is Argentine peso. Currency of Armenia is Armenian dram. Currency of Aruba is Aruban florin.
Currency of Australia is Australian dollar. Currency of Austria is European euro. Currency of Azerbaijan is Azerbaijan manat. Currency of Bahamas is Bahamian dollar.
Currency of Bahrain is Bahraini dinar. Currency of Bangladesh is Bangladeshi taka. Currency of Barbados is Barbadian dollar. Currency of Belarus is Belarusian ruble.
Currency of Belgium is European euro. Currency of Belize is Belize dollar. Currency of Benin is West African CFA franc. Currency of Bermuda is Bermudian dollar.
Currency of Bhutan is Bhutanese ngultrum. Currency of Bolivia is Bolivian boliviano. Currency of Bosnia and Herzegovina is Bosnia and Herzegovina convertible mark.
Currency of Botswana is Botswana pula. Currency of Brazil is Brazilian real. Currency of British Indian Ocean Territory is United States Dollar.Currency of Brunei is Brunei dollar. Currency of Bulgaria is Bulgarian lev. Currency of Burkina Faso is West African CFA franc. Currency of Burundi is Burundi franc.Currency of Cambodia is Cambodian riel. Currency of Cameroon is Central African CFA franc. Currency of Canada is Canadian dollar. Currency of Cape Verde is Cape Verde Escudo."""
"""N00000002""","""General Knowledge""","""Currency of Caribbean Netherlands is United States Dollar. Currency of Cayman Islands is Cayman Islands dollar. Currency of Central African Republic is Central African CFA franc. Currency of Chad is Central African CFA franc. Currency of Chile is Chilean peso. Currency of China is Chinese Yuan Renminbi. Currency of Christmas Island is Australian dollar.
Currency of Cocos Islands is Australian dollar. Currency of Colombia is Colombian peso. Currency of Comoros is Comorian franc. Currency of Republic of the Congo is Central African CFA franc. Currency of Democratic of Republic DR Congo is Congolese franc. Currency of Cook Islands is Cook Islands dollar. Currency of Costa Rica is Costa Rican colon. Currency of Ivory Coast is West African CFA franc. Currency of Croatia is Croatian kuna. Currency of Cuba is Cuban peso. Currency of Curaçao is Netherlands Antillean guilder. Currency of Cyprus is European euro. Currency of Czechia is Czech koruna. Currency of Denmark is Danish krone. Currency of Djibouti is Djiboutian franc.
Currency of Dominica is East Caribbean dollar. Currency of Dominican Republic is Dominican peso. Currency of Ecuador is United States Dollar. Currency of Egypt is Egyptian pound. Currency of El Salvador is United States Dollar. Currency of England is Pound sterling. Currency of Equatorial Guinea is Central African CFA franc. Currency of Eritrea is Eritrean nakfa. Currency of Estonia is European euro. Currency of Eswatini is Swazi lilangeni. Currency of Ethiopia is Ethiopian birr. Currency of Falkland Islands is Falkland Islands pound.
Currency of Faroe Islands is Faroese krona. Currency of Fiji is Fijian dollar. Currency of Finland is European euro. Currency of France is European euro. Currency of French Guiana is European euro."""
"""N00000002""","""General Knowledge""","""Currency of French Polynesia is CFP franc. Currency of Gabon is Central African CFA franc. Currency of Gambia is Gambian dalasi. Currency of Georgia is Georgian lari. Currency of Germany is European euro. Currency of Ghana is Ghanaian cedi. Currency of Gibraltar is Gibraltar pound. Currency of Greece is European euro. Currency of Greenland is Danish krone. Currency of Grenada is East Caribbean dollar. Currency of Guadeloupe is European euro. Currency of Guam is United States Dollar. Currency of Guatemala is Guatemalan quetzal. Currency of Guernsey is Guernsey Pound. Currency of Guinea is Guinean franc. Currency of Guinea-Bissau is West African CFA franc. Currency of Guyana is Guyanese dollar. Currency of Haiti is Haitian gourde. Currency of Honduras is Honduran lempira. Currency of Hong Kong is Hong Kong dollar. Currency of Hungary is Hungarian forint. Currency of Iceland is Icelandic krona. Currency of India is Indian Rupee. Currency of Indonesia is Indonesian rupiah. Currency of Iran is Iranian rial. Currency of Iraq is Iraqi dinar. Currency of Ireland is European euro. Currency of Isle of Man is Manx pound.  Currency of Israel is Israeli new shekel. Currency of Italy is European euro. Currency of Jamaica is Jamaican dollar. Currency of Japan is Japanese yen. Currency of Jersey is Jersey pound. Currency of Jordan is Jordanian dinar. Currency of Kazakhstan is Kazakhstani tenge. Currency of Kenya is Kenyan shilling. Currency of Kiribati is Australian dollar. Currency of North Korea is North Korean won. Currency of South Korea is South Korean won. Currency of Kosovo is European euro."""
"""N00000002""","""General Knowledge""","""Currency of Kuwait is Kuwaiti dinar. Currency of Kyrgyzstan is Kyrgyzstani som. Currency of Laos is Lao kip. Currency of Latvia is European euro. Currency of Lebanon is Lebanese pound. Currency of Lesotho is Lesotho loti. Currency of Liberia is Liberian dollar. Currency of Libya is Libyan dinar. Currency of Liechtenstein is Swiss franc. Currency of Lithuania is European euro. Currency of Luxembourg is European euro. Currency of Macau is Macanese pataca. Currency of Madagascar is Malagasy ariary. Currency of Malawi is Malawian kwacha. Currency of Malaysia is Malaysian ringgit. Currency of Maldives is Maldivian rufiyaa. Currency of Mali is West African CFA franc. Currency of Malta is European euro. Currency of Marshall Islands is United States Dollar. Currency of Martinique is European euro. Currency of Mauritania is Mauritanian ouguiya. Currency of Mauritius is Mauritian rupee. Currency of Mayotte is European euro. Currency of Mexico is Mexican peso. Currency of Micronesia is United States Dollar. Currency of Moldova is Moldovan leu. Currency of Monaco is European euro. Currency of Mongolia is Mongolian tugrik. Currency of Montenegro is European euro. Currency of Montserrat is East Caribbean dollar. Currency of Morocco is Moroccan dirham. Currency of Mozambique is Mozambican metical. Currency of Myanmar is Myanmar kyat. Currency of Namibia is Namibian dollar. Currency of Nauru is Australian dollar. Currency of Nepal is Nepalese rupee. Currency of Netherlands is European euro. Currency of New Caledonia is CFP franc. Currency of New Zealand is New Zealand dollar. Currency of Nicaragua is Nicaraguan cordoba. Currency of Niger is West African CFA franc."""
